,open,close,high,low,volume,money
2016-01-11,3303.13,3192.45,3342.48,3192.45,17463838700.0,184464050180.0
2016-01-12,3214.82,3215.71,3242.25,3174.55,12822579600.0,142048909710.0
2016-01-13,3240.48,3155.88,3257.3,3155.88,12066649400.0,130886082444.0
2016-01-14,3076.64,3221.57,3226.66,3072.04,13453767100.0,144771580596.0
2016-01-15,3200.89,3118.73,3216.8,3101.05,12460177900.0,131882737252.0
2016-01-18,3068.23,3130.73,3165.62,3066.73,10112838600.0,109458287764.0
2016-01-19,3132.7,3223.13,3227.91,3119.22,12765389300.0,142907686296.0
2016-01-20,3204.22,3174.38,3225.95,3154.43,13065050400.0,143313337192.0
2016-01-21,3136.38,3081.35,3202.54,3081.35,11118973300.0,121856195433.0
2016-01-22,3114.89,3113.46,3132.17,3053.96,8995108700.0,96885673842.0
2016-01-25,3129.03,3128.89,3149.33,3105.1,8154006100.0,85777891364.0
2016-01-26,3099.6,2940.51,3106.53,2934.65,12693392100.0,127250652518.0
2016-01-27,2953.18,2930.35,2963.54,2839.29,13222936600.0,126997670778.0
2016-01-28,2909.33,2853.76,2941.89,2841.84,9922275600.0,95663874927.0
2016-01-29,2855.6,2946.09,2965.31,2854.37,11330425900.0,109462356680.0
2016-02-01,2939.04,2901.05,2944.52,2869.56,8679534200.0,82931453498.0
2016-02-02,2901.53,2961.33,2972.43,2901.51,8860196300.0,88740230428.0
2016-02-03,2931.29,2948.64,2954.71,2909.9,7738900000.0,74817092259.0
2016-02-04,2960.33,2984.76,2999.21,2960.21,9177972400.0,91550346872.0
2016-02-05,2982.06,2963.79,2988.36,2962.85,7685080800.0,77443222334.0
2016-02-15,2888.43,2946.71,2961.49,2886.02,7291943400.0,71285049141.0
2016-02-16,2962.19,3037.04,3042.09,2962.19,11257964300.0,112300492317.0
2016-02-17,3034.09,3063.32,3065.78,3027.05,12829160700.0,122279340234.0
2016-02-18,3079.53,3053.7,3093.51,3049.84,12440146400.0,122618612161.0
2016-02-19,3047.94,3051.59,3065.97,3032.63,8733801200.0,90849341804.0
2016-02-22,3083.93,3118.87,3128.21,3071.33,14094696800.0,141684080627.0
2016-02-23,3117.2,3089.36,3119.22,3061.43,11256739100.0,117476469063.0
2016-02-24,3077.61,3109.55,3109.55,3055.25,11178265000.0,112918607549.0
2016-02-25,3104.41,2918.75,3104.44,2905.46,15782975200.0,153493008194.0
2016-02-26,2942.1,2948.03,2964.39,2902.95,10694972900.0,102531571946.0
2016-02-29,2939.58,2877.47,2939.87,2821.21,12934102000.0,118440829598.0
2016-03-01,2881.34,2930.69,2950.44,2863.32,11604591800.0,110491037808.0
2016-03-02,2933.92,3051.33,3054.72,2933.12,17597234700.0,164025161471.0
2016-03-03,3050.39,3058.42,3078.44,3040.25,17310574400.0,165509087742.0
2016-03-04,3047.54,3093.89,3101.66,3032.42,21917253400.0,205520475543.0
2016-03-07,3109.0,3104.84,3130.9,3083.58,13246203700.0,127790344488.0
2016-03-08,3100.15,3107.67,3109.25,3001.83,13623574200.0,128758488144.0
2016-03-09,3045.92,3071.91,3072.92,3020.13,11146624500.0,106298652785.0
2016-03-10,3056.21,3013.15,3074.16,3012.69,7607219700.0,78180468559.0
2016-03-11,2990.21,3018.28,3026.44,2982.17,7333356400.0,74367296548.0
2016-03-14,3039.57,3065.69,3106.8,3034.0,11710865500.0,123539094703.0
2016-03-15,3061.34,3074.78,3077.08,3028.58,9831194100.0,101302845698.0
2016-03-16,3068.87,3090.03,3100.35,3064.52,12473644800.0,126128854001.0
2016-03-17,3096.81,3124.2,3147.84,3077.57,12166177700.0,136603715775.0
2016-03-18,3136.22,3171.96,3197.67,3130.1,19730256400.0,210017810346.0
2016-03-21,3203.29,3249.44,3267.78,3198.36,23326946400.0,256836636273.0
2016-03-22,3231.61,3225.79,3249.68,3218.73,16102089700.0,194211982989.0
2016-03-23,3217.73,3236.09,3242.25,3202.98,12567928600.0,155567074583.0
2016-03-24,3211.5,3181.85,3221.91,3181.81,13313112200.0,162436036415.0
2016-03-25,3176.81,3197.82,3204.44,3174.32,9739533000.0,115195604431.0
2016-03-28,3206.95,3169.73,3229.62,3161.88,10344193300.0,123844044128.0
2016-03-29,3171.31,3135.41,3178.07,3122.76,9729474700.0,113844280553.0
2016-03-30,3161.29,3216.28,3216.68,3161.29,11780251200.0,140721774451.0
2016-03-31,3229.2,3218.09,3241.93,3208.66,12155207400.0,147267617416.0
2016-04-01,3213.67,3221.89,3222.61,3165.86,11812213900.0,127050098456.0
2016-04-05,3211.3,3264.49,3271.93,3205.21,14604777200.0,159296543667.0
2016-04-06,3250.52,3257.53,3267.64,3236.2,12019630500.0,137206268587.0
2016-04-07,3266.29,3209.29,3270.82,3208.64,11240946700.0,128273067720.0
2016-04-08,3189.85,3185.73,3197.77,3163.3,10100562500.0,113920716519.0
2016-04-11,3213.51,3230.1,3251.57,3213.51,12521270900.0,142759491340.0
2016-04-12,3227.37,3218.45,3232.26,3198.9,9286943700.0,99086557951.0
2016-04-13,3237.86,3261.38,3296.52,3237.86,19561386600.0,200159601290.0
2016-04-14,3277.1,3275.83,3286.07,3252.05,11315732700.0,117989443450.0
2016-04-15,3279.86,3272.21,3282.98,3261.73,9980752900.0,107963982334.0
2016-04-18,3252.67,3228.45,3252.67,3221.66,9709006900.0,103956150095.0
2016-04-19,3243.97,3238.3,3250.73,3221.58,8087144000.0,90976236261.0
2016-04-20,3244.14,3181.03,3248.42,3107.37,16220785800.0,172324694469.0
2016-04-21,3160.8,3160.6,3198.56,3150.94,10475265100.0,110324379038.0
2016-04-22,3142.56,3174.9,3175.38,3137.99,7707849200.0,82442921903.0
2016-04-25,3164.74,3162.03,3172.27,3137.11,6751935100.0,74734848036.0
2016-04-26,3159.77,3179.16,3181.1,3150.4,5902073400.0,68871554173.0
2016-04-27,3181.93,3165.92,3188.83,3162.69,6000414700.0,70620405995.0
2016-04-28,3169.33,3160.58,3174.77,3135.64,6987066000.0,78876767222.0
2016-04-29,3153.54,3156.75,3171.29,3149.4,5802977600.0,70807704222.0
2016-05-03,3159.82,3213.54,3218.49,3151.4,9816483500.0,115733867591.0
2016-05-04,3203.47,3209.46,3222.88,3198.29,9086240800.0,97797134813.0
2016-05-05,3204.17,3213.92,3217.28,3196.57,7473368100.0,83946496908.0
2016-05-06,3213.14,3130.35,3216.89,3130.15,10868024000.0,119265216104.0
2016-05-09,3115.43,3065.62,3115.43,3055.01,9923047700.0,100409213488.0
2016-05-10,3055.21,3069.11,3084.72,3055.18,6884993500.0,70650764147.0
2016-05-11,3080.64,3082.81,3102.88,3063.09,8179425800.0,87323408342.0
2016-05-12,3059.38,3090.14,3095.35,3035.02,7876572600.0,81418792606.0
2016-05-13,3081.68,3074.94,3103.1,3064.69,6262975500.0,65850995649.0
2016-05-16,3064.53,3095.31,3095.56,3053.66,5946185600.0,64405200020.0
2016-05-17,3095.52,3086.02,3105.2,3073.46,6527812500.0,75389385458.0
2016-05-18,3071.53,3068.04,3072.61,3039.46,8271536900.0,88458847115.0
2016-05-19,3060.34,3062.5,3086.98,3058.14,6044416600.0,68679060392.0
2016-05-20,3047.78,3078.22,3078.53,3041.52,5608084200.0,65124251092.0
2016-05-23,3078.51,3087.22,3098.48,3076.5,5969721600.0,70337514484.0
2016-05-24,3083.24,3063.56,3083.26,3052.59,5873438500.0,61106015446.0
2016-05-25,3079.75,3059.23,3089.1,3054.87,5665280300.0,63316562530.0
2016-05-26,3056.6,3064.21,3072.52,3027.44,6039298100.0,65985183919.0
2016-05-27,3059.73,3062.5,3073.76,3052.18,6046875000.0,59371777079.0
2016-05-30,3056.31,3066.71,3075.26,3037.66,6309857900.0,63496565009.0
2016-05-31,3068.6,3169.56,3170.93,3068.6,13886311100.0,151398175957.0
2016-06-01,3172.96,3160.55,3181.79,3159.82,11314848200.0,131700821152.0
2016-06-02,3158.03,3167.1,3168.82,3151.07,8600342700.0,97093625345.0
2016-06-03,3172.95,3189.33,3201.75,3162.09,10149178300.0,136332027087.0
2016-06-06,3192.78,3178.79,3197.22,3168.55,7669375100.0,101176231366.0
2016-06-07,3182.44,3177.05,3186.62,3168.18,6892831400.0,88711618425.0
2016-06-08,3171.81,3163.99,3174.97,3148.35,7629177500.0,97682790861.0
2016-06-13,3134.05,3066.34,3145.61,3065.77,9297594700.0,114091320004.0
2016-06-14,3058.44,3075.98,3078.75,3055.66,6627945700.0,78622305350.0
